Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,IsActiveMember,EstimatedSalary,Exited
Osborne,635,Germany,Female,28,3,81623.67,,Yes,156791.36,No
Heap,647,Spain,Female,44,5,0,3,Yes,174205.22,Yes
Ritchie,808,France,Male,45,7,118626.55,2,No,147132.46,No
Cole,524,France,Female,36,10,0,2,No,109614.57,No
Capon,769,France,Male,29,8,0,,Yes,172290.61,No
Capon,730,Spain,Male,42,4,0,2,Yes,85982.47,No
Fiorentini,515,Spain,Male,35,10,176273.95,1,Yes,121277.78,No
Graham,773,Spain,Male,41,9,102827.44,1,Yes,64595.25,No
Yuille,814,Germany,Male,29,8,97086.4,2,Yes,197276.13,No
Allard,710,Spain,Male,22,8,0,2,No,99645.04,No
Fanucci,413,France,Male,34,9,0,2,No,6534.18,No
Fu,665,France,Female,40,6,0,1,Yes,161848.03,No
Hung,623,France,Female,44,6,0,2,No,167162.43,No
Hung,738,France,Male,31,9,82674.15,1,No,41970.72,No
Bradley,528,Spain,Male,36,7,0,2,No,60536.56,No
Dunbabin,670,Spain,Female,65,1,0,1,Yes,,Yes
Mauldon,622,Spain,Female,46,4,107073.27,2,Yes,30984.59,Yes
Stiger,582,Germany,Male,32,1,88938.62,1,Yes,10054.53,No
Parsons,785,Germany,Female,36,2,99806.85,1,Yes,36976.52,No
Walkom,605,Spain,Male,33,5,150092.8,1,No,71862.79,No
T'ang,479,Germany,Male,35,9,92833.89,1,No,99449.86,Yes
Eremenko,685,Germany,Male,30,3,90536.81,1,Yes,63082.88,No
Rowntree,538,Germany,Male,39,7,108055.1,2,No,27231.26,No
Thorpe,562,France,Male,42,2,100238.35,1,No,86797.41,No
Chiemela,675,Spain,Male,36,9,106190.55,1,Yes,22994.32,No
Fanucci,721,Germany,Male,28,9,154475.54,2,Yes,101300.94,Yes
Ko,628,Germany,Female,30,9,132351.29,2,Yes,74169.13,No
Welch,668,Germany,Female,37,6,167864.4,1,No,115638.29,No
Duncan,506,France,Female,41,1,0,2,No,31766.3,No
Chidozie,524,Germany,Female,31,8,107818.63,1,No,199725.39,Yes
Wu,699,Germany,Male,34,4,185173.81,,No,120834.48,No
Culbreth,828,France,Male,34,8,129433.34,,No,38131.77,No
Kennedy,674,Spain,Male,39,6,120193.42,1,No,100130.95,No
Cameron,656,France,Female,39,6,0,2,No,141069.88,No
Calabresi,684,Germany,Female,48,10,126384.42,1,Yes,198129.36,No
Zetticci,625,France,Female,28,3,0,1,No,183646.41,No
Fuller,432,France,Male,42,9,152603.45,1,No,110265.24,Yes
MacDonald,549,France,Female,52,1,0,1,Yes,8636.05,Yes
Piccio,625,Germany,Male,56,0,148507.24,1,No,46824.08,Yes
Kennedy,828,France,Female,41,7,0,2,No,171378.77,No
Fernie,770,France,Male,24,9,101827.07,1,No,167256.35,No
He,758,France,Female,34,3,0,2,Yes,124226.16,No
Kaodilinakachukwu,795,Germany,Female,33,9,130862.43,1,Yes,114935.21,No
Cocci,687,France,Male,38,9,122570.87,1,Yes,35608.88,No
Alekseeva,686,France,Male,25,1,0,2,Yes,16459.37,No
Chinweike,789,Germany,Male,39,7,124828.46,2,Yes,124411.08,No
Arthur,589,Germany,Female,50,5,144895.05,2,Yes,34941.23,No
Li,461,Germany,Female,34,5,63663.93,1,Yes,167784.28,No
Ma,637,France,Male,40,2,133463.1,1,Yes,93165.34,No
Chia,584,Spain,Female,48,2,213146.2,1,No,75161.25,Yes
Vasin,579,Spain,Female,35,1,129490.36,2,Yes,8590.83,Yes
Groves,756,Germany,Male,44,10,137452.09,1,No,189543.9,No
Tien,663,France,Male,34,7,0,2,Yes,180427.24,No
Forwood,682,France,Female,43,5,125851.93,1,Yes,193318.33,No
Greeves,793,Spain,Male,52,2,0,1,No,159123.82,Yes
Taylor,691,France,Female,31,5,40915.55,1,No,126213.84,Yes
Madukwe,485,Spain,Female,21,5,113157.22,1,Yes,54141.5,No
Bennelong,635,Spain,Female,29,8,138296.94,2,No,,No
Olisanugo,650,France,Male,37,5,106967.18,1,No,24495.03,No
Chukwufumnanya,735,France,Male,44,9,120681.63,1,No,74836.34,No
Harris,416,France,Male,32,0,0,2,Yes,878.87,No
Morgan,754,Spain,Female,32,7,0,2,No,89520.75,No
Alexeeva,535,France,Female,48,9,0,1,No,149892.79,Yes
Metcalfe,716,Spain,Male,42,8,0,2,No,180800.42,No
Humphries,539,France,Male,37,2,127609.59,1,No,98646.22,No
Milne,614,France,Female,43,6,0,2,Yes,109041.53,No
Chou,706,Spain,Male,57,7,0,1,No,17941.16,Yes
Li,758,France,Female,33,7,0,2,No,82996.47,No
Clayton,586,Spain,Female,28,2,0,2,Yes,92067.35,No
Maclean,646,France,Female,73,6,97259.25,1,Yes,104719.66,No
Chigolum,631,Germany,Female,33,4,123246.7,1,No,112687.57,No
Wilkinson,717,Spain,Female,22,6,101060.25,1,Yes,84699.56,No
Wei,684,France,Male,30,2,0,,No,83473.82,No
Treacy,800,France,Female,49,7,108007.36,1,No,47125.11,No
Hu,721,Spain,Female,36,2,0,2,Yes,106977.8,No
Taverner,683,Spain,Male,29,0,133702.89,1,No,55582.54,Yes
Sherman,660,Germany,Male,31,9,125189.75,2,Yes,139874.43,No
Taubman,704,Germany,Female,24,7,113034.22,1,No,162503.48,Yes
Robinson,615,Spain,Female,41,9,109013.23,1,No,196499.96,No
Pinto,667,Spain,Female,39,2,0,2,No,40721.24,Yes
Wood,682,Germany,Male,24,9,57929.81,2,No,53134.3,No
Hawkins,484,France,Female,29,4,130114.39,1,No,164017.89,No
Sun,628,Germany,Male,27,5,95826.49,2,No,155996.96,No
Yost,480,Germany,Male,44,10,129608.57,1,No,5472.7,Yes
Ting,578,France,Male,30,4,169462.09,1,No,112187.11,No
Rowe,512,France,Male,40,5,0,2,Yes,146457.83,No
Fu,484,Spain,Female,35,7,133868.21,1,Yes,27286.1,No
Ho,510,France,Female,30,0,0,2,Yes,130553.47,No
Okechukwu,606,Germany,Male,36,5,190479.48,2,No,179351.89,No
Campbell,597,Spain,Female,40,8,101993.12,1,Yes,94774.12,No
Ashbolt,754,Germany,Female,55,3,161608.81,1,No,8080.85,Yes
Rozier,850,Spain,Female,45,2,122311.21,1,Yes,19482.5,No
Hsia,510,France,Male,65,2,0,2,Yes,48071.61,No
Ogbonnaya,778,Germany,Female,45,1,162150.42,,No,174531.27,No
T'ang,636,France,Male,42,2,0,2,Yes,55470.78,No
Cocci,804,France,Female,50,4,0,1,Yes,8546.87,Yes
Chang,514,France,Male,32,8,0,2,No,95857.18,No
T'ao,730,France,Female,39,1,99010.67,1,No,194945.8,No
Ford,525,Spain,Female,37,0,0,1,Yes,131521.72,No
Marshall,616,Spain,Male,30,5,0,2,Yes,196108.51,No
Tsai,687,Germany,Female,34,7,111388.18,2,No,148564.76,No
Onwumelu,715,France,Female,41,8,56214.85,2,No,92982.61,Yes
Graham,512,France,Female,36,3,84327.77,2,No,17675.36,No
Golovanov,479,France,Male,40,1,0,2,No,114996.43,No
Potts,601,France,Male,32,8,93012.89,1,No,86957.42,No
Crawford,580,Spain,Male,29,9,61710.44,2,No,128077.8,No
Aleshire,807,France,Male,35,3,174790.15,1,Yes,600.36,No
Moran,616,Spain,Female,32,6,0,2,Yes,43001.46,No
Samsonova,721,Germany,Male,37,3,107720.64,1,Yes,158591.12,No
Jenkins,501,France,Male,57,10,0,2,Yes,47847.19,No
Volkov,521,France,Male,35,6,96423.84,1,No,10488.44,No
Chiemezie,850,Spain,Male,30,2,141040.01,1,Yes,5978.2,No
Jude,759,France,Male,42,4,105420.18,1,Yes,121409.06,No
He,516,Spain,Male,50,5,0,1,Yes,146145.93,Yes
Onuora,711,France,Female,38,2,129022.06,2,Yes,14374.86,Yes
Ginikanwa,512,Spain,Male,33,3,176666.62,1,No,94670.77,No
Ku,550,France,Male,37,3,0,1,Yes,179670.31,No
McDonald,608,Spain,Female,41,3,89763.84,1,No,199304.74,Yes
Collins,618,France,Male,34,5,134954.53,1,Yes,151954.39,No
Hackett,643,France,Male,45,5,0,1,No,142513.5,Yes
Dike,671,France,Male,45,2,106376.85,1,Yes,158264.62,No
Trevisano,689,Germany,Male,33,2,161814.64,2,No,169381.9,No
Tan,603,France,Male,31,8,0,2,Yes,169915.02,No
Glassman,620,France,Female,41,9,0,2,No,88852.47,No
Miller,676,France,Female,34,1,63095.01,1,Yes,,No
Kornilova,572,Germany,Male,26,4,118287.01,2,No,60427.3,No
Watson,668,Germany,Male,47,7,106854.21,1,Yes,157959.02,Yes
Marchesi,695,France,Male,46,7,49512.55,1,No,133007.34,No
Millar,730,Spain,Female,33,9,0,2,No,176576.62,No
Shih,807,France,Male,43,1,105799.32,2,No,34888.04,Yes
Fuller,592,France,Male,54,8,0,1,Yes,28737.71,Yes
Hay,726,France,Female,31,9,114722.05,2,Yes,98178.57,No
Yang,514,Spain,Male,30,7,0,1,Yes,125010.24,No
McIntyre,567,France,Male,42,2,0,2,Yes,167984.61,No
Stevenson,850,France,Male,33,10,0,1,No,4861.72,Yes
Poole,671,Germany,Male,45,6,99564.22,1,Yes,108872.45,Yes
Bagley,670,France,Male,37,4,170557.91,2,No,198252.88,No
Ch'ien,694,France,Female,30,9,0,2,Yes,26960.31,No
Cattaneo,547,Germany,Female,39,6,74596.15,3,Yes,85746.52,Yes
O'Sullivan,751,Germany,Male,50,2,96888.39,1,No,77206.25,Yes
Lucas,594,Germany,Female,29,3,130830.22,1,No,61048.53,No
Ringrose,673,France,Male,72,1,0,2,Yes,111981.19,No
Freeman,610,France,Male,40,0,0,2,No,62232.6,No
Sergeyev,512,France,Female,37,1,0,2,Yes,156105.03,No
Fiore,767,Germany,Male,20,3,119714.25,2,Yes,150135.38,No
Smith,585,France,Female,67,5,113978.97,2,Yes,93146.11,No
Dumetochukwu,763,Germany,Male,42,6,100160.75,1,No,33462.94,Yes
Pacheco,712,France,Female,29,2,0,1,Yes,144375,No
Synnot,539,Germany,Female,43,3,116220.5,3,No,55803.96,Yes
Johnston,668,France,Female,46,2,0,3,No,89048.46,Yes
Stevens,703,France,Male,28,2,81173.83,2,Yes,162812.16,No
Grant,662,Spain,Male,38,4,0,2,No,136259.65,No
Tsao,725,Germany,Female,39,5,116803.8,,No,124052.97,No
Barnes,703,France,Male,37,8,105961.68,2,Yes,74158.8,No
McIntosh,659,Germany,Male,67,6,117411.6,1,Yes,45071.09,Yes
Madison,523,Spain,Male,34,7,0,2,No,62030.06,No
Ifesinachi,635,France,Female,40,10,123497.58,1,No,131953.23,Yes
Glazkov,772,Germany,Male,26,7,152400.51,2,No,79414,No
Dimauro,545,France,Female,26,1,0,2,Yes,199638.56,No
Wieck,634,Germany,Male,24,8,103097.85,1,Yes,157577.29,No
Liao,739,Germany,Male,54,8,126418.14,1,No,134420.75,Yes
Hughes,771,Germany,Female,36,5,77846.9,1,No,99805.99,No
Morrison,587,Spain,Female,34,1,0,2,Yes,97932.68,No
Matveyeva,681,France,Female,79,0,0,2,Yes,170968.99,No
Ku,544,Germany,Male,37,2,79731.91,1,Yes,57558.95,No
Cheatham,696,Spain,Male,28,8,0,1,No,176713.47,No
Yao,766,Spain,Male,41,0,0,2,Yes,34283.23,No
Kirkland,727,France,Male,34,10,0,2,Yes,198637.34,No
Rose,671,Germany,Female,34,6,37266.67,2,No,156917.12,No
Jess,693,France,Female,30,6,127992.25,1,Yes,50457.2,No
Welch,850,Germany,Male,38,3,54901.01,1,Yes,140075.55,No
Ifeajuna,732,Germany,Male,42,9,108748.08,2,Yes,65323.11,No
Morton,726,Spain,Female,48,6,99906.19,1,No,64323.24,No
Rossi,557,France,Female,32,6,184686.41,2,No,14956.44,No
Reppert,682,France,Female,26,0,110654.02,1,Yes,111879.21,No
Kang,738,Spain,Male,31,9,79019.8,1,Yes,18606.23,No
Ch'iu,531,Spain,Female,36,9,99240.51,1,No,123137.01,No
Wallis,498,France,Male,34,2,0,2,Yes,148528.24,No
Clark,651,France,Male,36,7,0,2,No,13898.31,No
Fielding,549,Spain,Female,39,7,0,1,No,81259.25,Yes
Zetticci,791,Germany,Female,35,7,52436.2,1,No,161051.75,No
Dulhunty,650,Spain,Male,41,9,0,2,Yes,191599.67,No
Bevington,733,Germany,Male,34,3,100337.96,3,No,48559.19,Yes
Boyle,811,Germany,Female,34,1,149297.19,2,Yes,186339.74,No
Newton,707,France,Male,30,8,0,2,No,33159.37,No
Bowman,712,Germany,Male,28,4,145605.44,,Yes,93883.53,No
Dubinina,706,Spain,Female,37,7,0,2,Yes,110899.3,No
Toscani,756,France,Male,62,3,0,1,Yes,11199.04,Yes
Chiazagomekpere,777,France,Female,53,10,0,2,No,189992.97,No
Allen,646,France,Male,35,6,84026.86,1,Yes,164255.69,No
K'ung,714,France,Male,46,1,0,1,No,152167.79,Yes
Wilsmore,782,France,Male,39,8,0,2,Yes,33949.67,No
Hargreaves,775,Spain,Male,29,10,0,2,Yes,68143.93,No
Huang,479,Germany,Male,35,4,138718.92,1,Yes,47251.79,Yes
Ch'ien,807,France,Male,42,7,118274.71,1,Yes,25885.72,No
Wallwork,799,France,Female,22,8,174185.98,2,Yes,192633.85,No
Chu,675,France,Male,40,7,113208.86,2,No,34577.36,No
Kang,602,Spain,Male,29,5,103907.28,1,No,161229.84,No
Davidson,475,France,Female,32,8,119023.28,1,No,100816.29,No
O'Donnell,744,Spain,Female,26,5,166297.89,1,Yes,181694.44,No
Nnachetam,588,Spain,Male,34,10,0,2,No,79078.91,No
Chidiebele,703,Germany,Male,42,9,63227,1,Yes,137316.32,No
Ahmed,747,Spain,Female,41,5,94521.17,2,No,194926.86,No
Booth,583,France,Male,27,7,0,2,No,51285.49,No
Chuang,750,Spain,Female,34,9,112822.26,1,No,150401.53,Yes
Shao,681,France,Male,38,3,0,2,Yes,112491.96,No
Tsao,773,France,Male,25,2,135903.33,1,No,73656.38,No
Tien,714,France,Female,31,4,125169.26,1,Yes,106636.89,No
Chang,687,Spain,Female,44,7,0,3,No,155853.52,Yes
Johnson,511,France,Male,58,0,149117.31,1,Yes,162599.51,No
French,627,France,Male,33,5,0,2,Yes,103737.82,No
Efremov,694,France,Female,31,10,0,2,No,160990.27,No
Hartley,616,Spain,Female,36,6,132311.71,1,No,15462.84,No
Calabrese,687,France,Male,35,8,0,2,No,10334.05,No
Chiu,712,France,Female,33,6,0,2,Yes,190686.16,No
Brennan,553,France,Male,33,4,118082.89,1,No,94440.45,No
Onwuatuegwu,667,France,Male,31,1,119266.69,1,Yes,28257.63,No
Hewitt,731,France,Male,43,2,0,1,Yes,170034.95,Yes
Shih,629,Germany,Male,35,7,156847.29,2,No,31824.29,No
Balashov,614,France,Male,50,4,137104.47,1,No,127166.49,Yes
Doyle,438,Germany,Male,31,8,78398.69,1,No,44937.01,No
Pokrovskii,652,France,Female,80,4,0,2,Yes,188603.07,No
Collins,729,Germany,Male,30,6,63669.42,1,No,145111.37,No
Russo,642,France,Male,38,3,0,2,No,171463.83,No
Skinner,806,Germany,Female,59,0,135296.33,1,No,182822.5,No
Robertson,744,Spain,Male,36,2,153804.44,1,Yes,87213.33,No
Atkinson,474,Spain,Male,37,3,0,2,No,57175.32,No
Doyle,559,France,Male,49,2,147069.78,1,No,120540.83,Yes
Ritchie,706,Spain,Male,42,9,0,2,Yes,28714.34,No
McEncroe,628,Spain,Female,22,3,0,1,No,85426.28,No
Pearson,429,France,Male,24,4,95741.75,1,No,46170.75,No
Gordon,525,Spain,Female,57,2,145965.33,1,Yes,64448.36,No
Ts'ai,680,France,Female,30,8,141441.75,,Yes,16278.97,No
Lung,749,France,Male,40,1,139290.41,1,No,182855.42,Yes
Yuan,763,France,Female,31,4,0,2,No,50404.72,No
Pardey,734,France,Male,30,3,0,2,No,107640.25,No
Tai,716,France,Male,35,4,144428.87,1,No,134132.65,No
Scott,594,France,Male,35,2,0,2,No,103480.69,No
Hunter,644,France,Female,46,9,95441.27,1,No,108761.05,Yes
Mazzanti,671,Germany,Male,35,1,144848.74,1,Yes,179012.3,No
L?,664,Germany,Male,26,7,116244.14,2,Yes,95145.14,No
Beach,656,France,Male,50,7,0,2,Yes,72143.44,No
Hsieh,667,Spain,Female,40,1,146502.07,1,No,19162.89,No
Faulkner,663,Germany,Male,44,2,117028.6,2,Yes,144680.18,No
Knowles,584,Germany,Female,30,8,112013.81,1,No,177772.03,Yes
Day,626,Spain,Female,37,6,108269.37,1,No,5597.94,No
Hsueh,485,France,Male,29,7,182123.79,1,No,116828.51,Yes
Tsao,659,Germany,Female,32,3,150923.74,2,Yes,174652.51,No
Kennedy,649,France,Male,33,2,0,2,No,2010.98,No
Nwabugwu,805,Spain,Female,39,5,165272.13,1,No,14109.85,Yes
Young,716,Germany,Female,39,10,115301.31,1,No,43527.4,Yes
Kerr,642,Germany,Female,40,6,129502.49,2,Yes,86099.23,Yes
Tien,659,France,Male,31,4,118342.26,1,No,161574.19,No
Marrero,545,Spain,Female,47,5,0,2,Yes,38970.14,No
White,543,France,Male,22,8,0,2,No,127587.22,No
Pisano,718,France,Female,25,7,0,2,No,30380.12,No
Brown,840,France,Female,43,7,0,2,No,90908.95,No
Freeman,630,Germany,Female,34,9,106937.05,2,No,138275.01,No
Russell,643,Germany,Male,59,3,170331.37,1,Yes,32171.79,No
Seleznyov,654,Germany,Female,32,1,114510.85,1,Yes,126143.23,No
Yusupova,582,France,Male,39,5,0,2,Yes,129892.93,No
Foley,659,Spain,Male,32,3,107594.11,2,Yes,102416.84,No
Shih,762,Spain,Male,39,2,81273.13,1,Yes,18719.67,No
Ikedinachukwu,568,Spain,Female,32,7,169399.6,1,No,61936.22,No
Power,670,Spain,Male,25,6,0,2,Yes,78358.94,No
Amos,613,France,Female,45,1,187841.99,2,Yes,147224.27,No
Reed,539,France,Male,30,0,0,2,No,160979.66,No
Simmons,850,Spain,Female,57,8,126776.3,2,Yes,132298.49,No
Ricci,522,Spain,Male,34,9,126436.29,1,No,174248.52,Yes
Yen,737,France,Male,41,1,101960.74,1,Yes,123547.28,No
Campbell,520,France,Male,58,3,0,2,Yes,32790.02,No
West,706,Spain,Male,28,3,0,2,Yes,181543.67,No
Robinson,643,Germany,Female,45,2,150842.93,1,Yes,2319.96,Yes
Bianchi,648,France,Female,50,9,102535.57,1,Yes,189543.19,No
Chen,443,Germany,Female,29,9,99027.61,2,No,10940.4,No
Madukaego,640,France,Male,68,9,0,2,Yes,199493.38,No
Ibrahimova,628,Spain,Female,33,3,0,1,Yes,188193.25,No
Nolan,540,Germany,Female,42,9,87271.41,2,No,172572.64,No
Scott,460,Germany,Female,35,8,102742.91,2,Yes,189339.6,No
Blair,636,Germany,Male,34,2,40105.51,2,Yes,53512.16,No
Monaldo,593,France,Female,29,2,152265.43,1,No,34004.44,No
Sutherland,801,Spain,Male,42,4,141947.67,1,Yes,10598.29,No
Cole,640,Germany,Female,75,1,106307.91,2,Yes,113428.77,No
Briggs,611,Germany,Male,31,0,107884.81,2,Yes,183487.98,No
Gregory,802,Germany,Male,31,1,125013.72,1,Yes,187658.09,No
Bianchi,717,Germany,Male,35,7,58469.37,2,Yes,172459.39,No
Angelo,769,France,Female,39,8,0,1,Yes,21016,No
Gardiner,745,Germany,Male,45,10,117231.63,3,Yes,122381.02,Yes
Kerr,572,Spain,Male,35,4,152390.26,1,No,128123.66,No
Ko,629,Spain,Female,30,2,34013.63,1,No,19570.63,No
Distefano,687,Spain,Female,39,2,0,3,No,188150.6,Yes
Farrell,483,France,Female,50,9,0,2,Yes,111020.24,No
Milano,690,France,Male,36,7,101583.11,2,No,123775.15,No
Ting,492,Germany,Female,30,10,77168.87,2,Yes,146700.22,No
Boyd,709,Germany,Male,28,8,124695.72,2,No,145251.35,No
Onyemaechi,705,Germany,Male,44,3,105934.96,1,No,82463.69,No
Black,560,France,Female,66,9,0,1,Yes,15928.49,No
Oliver,611,Spain,Male,46,6,0,2,No,45886.33,No
Greco,730,Spain,Male,62,2,0,2,Yes,186489.95,No
Whitehead,709,Spain,Female,45,2,0,2,Yes,162922.65,No
Ikemefuna,544,France,Female,21,10,161525.96,2,No,9262.77,No
Morrison,712,Germany,Female,29,7,147199.07,1,Yes,84932.4,No
Onyeoruru,752,Germany,Male,38,3,183102.29,1,Yes,71557.12,No
Cunningham,648,Spain,Male,46,9,127209,2,No,77405.95,Yes
Demidov,556,Spain,Male,38,8,0,2,No,417.41,Yes
Celis,594,Spain,Female,24,0,97378.54,1,Yes,71405.17,No
Cheng,645,Germany,Female,37,2,136925.09,2,Yes,153400.24,No
Knight,557,France,Male,33,3,54503.55,1,Yes,371.05,No
Morin,547,Germany,Male,32,8,155726.85,1,No,67789.99,No
Mills,701,France,Female,39,9,0,2,Yes,145894.9,No
Outhwaite,616,France,Female,66,1,135842.41,1,No,183840.51,Yes
Tung,605,France,Male,52,1,63349.75,1,No,108887.44,No
Pai,593,Germany,Female,38,4,129499.42,1,Yes,154071.27,No
Carpenter,751,Spain,Male,52,8,0,2,Yes,179291.85,No
Fennell,443,Spain,Male,36,6,70438.01,2,Yes,56937.43,No
Fontaine,685,France,Male,23,8,0,2,Yes,112239.03,No
Pratt,718,France,Male,36,9,0,1,No,45909.87,No
Mitchell,538,Spain,Female,49,9,141434.04,1,No,173779.25,Yes
Franklin,611,Spain,Female,37,4,0,2,No,125696.26,No
K'ung,668,Germany,Male,37,10,152958.29,2,Yes,159585.61,No
Ko,537,Germany,Female,41,3,138306.34,1,No,106761.47,No
McKenzie,709,Spain,Male,23,10,0,2,No,129590.18,No
Pino,850,France,Male,38,1,0,2,Yes,80006.65,No
Fisk,745,Spain,Female,31,3,124328.84,1,Yes,140451.52,No
Chiang,693,Germany,Female,41,9,181461.48,3,Yes,187929.43,Yes
